"year_month","total_revenue","total_customers","customer_revenue"
"2015-01","545233.39","245.50","2220.91"
"2015-02","474476.12","210.00","2259.41"
"2015-03","400034.24","169.33","2362.41"
"2015-04","347453.74","151.00","2301.02"
"2015-05","485987.87","184.00","2641.24"
"2015-06","644190.91","233.67","2756.88"
"2015-07","700826.24","233.33","3003.54"
"2015-08","683573.48","246.33","2774.99"
"2015-09","746745.17","272.00","2745.39"
"2015-10","737610.19","285.33","2585.08"
"2015-11","812955.69","315.33","2578.08"
"2015-12","816486.71","321.67","2538.30"
"2016-01","1002322.71","373.00","2687.19"
"2016-02","912151.08","319.67","2853.44"
"2016-03","763116.18","253.00","3016.27"
"2016-04","621219.84","210.00","2958.19"
"2016-05","719761.07","245.00","2937.80"
"2016-06","842808.52","292.00","2886.33"
"2016-07","806347.82","289.33","2786.92"
"2016-08","757888.60","289.33","2619.43"
"2016-09","780686.09","305.00","2559.63"
"2016-10","865899.51","311.00","2784.24"
"2016-11","1071403.80","342.00","3132.76"
"2016-12","1128364.70","349.00","3233.14"
"2017-01","1268647.84","395.33","3209.06"
"2017-02","996483.31","340.33","2927.96"
"2017-03","751884.77","270.67","2777.90"
"2017-04","667105.85","239.67","2783.47"
"2017-05","865087.58","278.00","3111.83"
"2017-06","1060976.49","347.67","3051.71"
"2017-07","1054653.33","354.00","2979.25"
"2017-08","1029343.02","376.33","2735.19"
"2017-09","1178572.14","414.33","2844.50"
"2017-10","1288058.18","450.00","2862.35"
"2017-11","1516199.10","512.67","2957.48"
"2017-12","1641814.69","559.33","2935.31"
"2018-01","1863077.77","664.00","2805.84"
"2018-02","1654393.44","613.67","2695.92"
"2018-03","1327753.94","502.00","2644.93"
"2018-04","1188248.09","483.67","2456.75"
"2018-05","1765420.60","672.00","2627.11"
"2018-06","2131202.02","813.67","2619.26"
"2018-07","2269354.96","833.67","2722.14"
"2018-08","2036279.09","777.00","2620.69"
"2018-09","2292920.29","862.00","2660.00"
"2018-10","2456877.65","908.00","2705.81"
"2018-11","2766389.48","1008.33","2743.53"
"2018-12","2939688.33","1062.33","2767.20"
"2019-01","3364268.17","1196.33","2812.15"
"2019-02","3046922.05","1055.33","2887.17"
"2019-03","2387732.55","822.00","2904.78"
"2019-04","2080643.69","719.00","2893.80"
"2019-05","2266688.72","797.33","2842.84"
"2019-06","2698970.95","950.67","2839.03"
"2019-07","2611890.81","914.67","2855.57"
"2019-08","2582541.11","888.00","2908.27"
"2019-09","2680506.64","919.33","2915.71"
"2019-10","2696916.60","911.00","2960.39"
"2019-11","2709880.12","949.67","2853.51"
"2019-12","2522050.10","945.33","2667.90"
"2020-01","2514155.45","1025.33","2452.04"
"2020-02","1991089.67","856.67","2324.23"
"2020-03","1449818.67","623.00","2327.16"
"2020-04","950516.14","396.33","2398.27"
"2020-05","841224.67","346.00","2431.29"
"2020-06","878422.93","349.33","2514.57"
"2020-07","648086.17","262.00","2473.61"
"2020-08","490867.73","205.00","2394.48"
"2020-09","411397.76","181.00","2272.92"
"2020-10","350698.08","167.33","2095.81"
"2020-11","416296.54","189.33","2198.75"
"2020-12","512390.91","213.33","2401.83"
"2021-01","763192.43","299.00","2552.48"
"2021-02","827447.70","304.67","2715.91"
"2021-03","785017.95","285.67","2748.02"
"2021-04","922890.89","344.33","2680.23"
"2021-05","1267009.14","495.00","2559.61"
"2021-06","1685677.51","665.00","2534.85"
"2021-07","1840143.16","720.00","2555.75"
"2021-08","2064661.43","786.67","2624.57"
"2021-09","2331823.12","884.00","2637.81"
"2021-10","2553502.77","977.67","2611.83"
"2021-11","2960207.28","1152.67","2568.14"
"2021-12","3309386.30","1277.33","2590.86"
"2022-01","4043749.38","1556.00","2598.81"
"2022-02","3763068.50","1446.00","2602.40"
"2022-03","3129434.72","1224.00","2556.73"
"2022-04","2992943.83","1151.00","2600.30"
"2022-05","3651529.96","1363.00","2679.04"
"2022-06","4201075.99","1652.33","2542.51"
"2022-07","3957172.81","1650.67","2397.32"
"2022-08","3649571.73","1647.33","2215.44"
"2022-09","3822295.69","1694.33","2255.93"
"2022-10","3762848.56","1682.33","2236.68"
"2022-11","3890682.21","1758.67","2212.29"
"2022-12","3807681.15","1716.67","2218.07"
"2023-01","4122548.91","1828.33","2254.81"
"2023-02","3457984.14","1527.00","2264.56"
"2023-03","2624105.75","1184.33","2215.68"
"2023-04","2116706.22","990.00","2138.09"
"2023-05","2323434.06","1071.67","2168.06"
"2023-06","2715048.45","1263.33","2149.11"
"2023-07","2608686.39","1208.33","2158.91"
"2023-08","2528111.33","1193.00","2119.12"
"2023-09","2599339.08","1223.33","2124.80"
"2023-10","2624733.61","1239.33","2117.86"
"2023-11","2726658.97","1315.67","2072.45"
"2023-12","2768717.62","1356.67","2040.82"
"2024-01","3049457.34","1514.00","2014.17"
"2024-02","2637558.66","1311.67","2010.85"
"2024-03","1906342.94","947.00","2013.03"
"2024-04","1088353.14","561.50","1938.30"
